date,hospital_id,procedure,cash,gross,pct_change
2026-08-16,ccn-050222,cardiac-cath,16573,22097,
2026-08-16,ccn-050222,carpal-tunnel,6837,9116,
2026-08-16,ccn-050222,cast-fracture,666,888,
2026-08-16,ccn-050222,cesarean,77421,103228,
2026-08-16,ccn-050222,chemo-infusion,1971,2628,
2026-08-16,ccn-050222,chest-xray,532,710,
2026-08-16,ccn-050222,colonoscopy,2537,3383,
2026-08-16,ccn-050222,ct-abd-pelvis,4994,6658,
2026-08-16,ccn-050222,ct-head,2786,3714,
2026-08-16,ccn-050222,dialysis,2060,2746,
2026-08-16,ccn-050222,echocardiogram,4104,5472,
2026-08-16,ccn-050222,endoscopy,2668,3558,
2026-08-16,ccn-050222,epidural-inj,2718,3624,
2026-08-16,ccn-050222,er-level3,2188,2917,
2026-08-16,ccn-050222,er-level4,3900,5200,
2026-08-16,ccn-050222,er-level5,7125,9500,
2026-08-16,ccn-050222,flu-shot,15,20,
2026-08-16,ccn-050222,hip-replacement,108334,144446,
2026-08-16,ccn-050222,iud-insertion,1064,1418,
2026-08-16,ccn-050222,iv-hydration,825,1100,
2026-08-16,ccn-050222,iv-infusion,926,1235,
2026-08-16,ccn-050222,joint-injection,1499,1999,
2026-08-16,ccn-050222,knee-replacement,108334,144446,
2026-08-16,ccn-050222,laceration,1517,2023,
2026-08-16,ccn-050222,mammogram-diag,420,560,
2026-08-16,ccn-050222,mammogram-screen,435,580,
2026-08-16,ccn-050222,mri-brain,3036,4048,
2026-08-16,ccn-050222,mri-knee,3247,4329,
2026-08-16,ccn-050222,mri-spine,3112,4149,
2026-08-16,ccn-050222,physical-therapy,164,218,
2026-08-16,ccn-050222,prostate-biopsy,3221,4295,
2026-08-16,ccn-050222,sleep-study,5535,7380,
2026-08-16,ccn-050222,strep-test,132,176,
2026-08-16,ccn-050222,thyroid-us,1016,1354,
2026-08-16,ccn-050222,urgent-care,311,415,
2026-08-16,ccn-050222,us-abdomen,1400,1866,
2026-08-16,ccn-050222,us-pregnancy,1069,1425,
2026-08-16,ccn-050222,xray-extremity,575,767,
2026-08-16,ccn-050222,xray-leg,513,684,
2026-08-16,ccn-050234,biopsy-needle,5093,6791,
2026-08-16,ccn-050234,blood-cbc,148,197,
2026-08-16,ccn-050234,blood-metabolic,339,452,
2026-08-16,ccn-050234,cardiac-cath,16573,22097,
2026-08-16,ccn-050234,carpal-tunnel,6837,9116,
2026-08-16,ccn-050234,cast-fracture,666,888,
2026-08-16,ccn-050234,cesarean,77421,103228,
2026-08-16,ccn-050234,chemo-infusion,1971,2628,
2026-08-16,ccn-050234,chest-xray,532,710,
2026-08-16,ccn-050234,colonoscopy,2537,3383,
2026-08-16,ccn-050234,ct-abd-pelvis,4994,6658,
2026-08-16,ccn-050234,ct-head,2786,3714,
2026-08-16,ccn-050234,dialysis,2060,2746,
2026-08-16,ccn-050234,echocardiogram,4514,6019,
2026-08-16,ccn-050234,endoscopy,2668,3558,
2026-08-16,ccn-050234,epidural-inj,2718,3624,
2026-08-16,ccn-050234,er-level3,2188,2917,
2026-08-16,ccn-050234,er-level4,7800,10400,
2026-08-16,ccn-050234,er-level5,5700,7600,
2026-08-16,ccn-050234,flu-shot,15,20,
2026-08-16,ccn-050234,hip-replacement,108334,144446,
2026-08-16,ccn-050234,iud-insertion,1064,1418,
2026-08-16,ccn-050234,iv-hydration,825,1100,
2026-08-16,ccn-050234,iv-infusion,926,1235,
2026-08-16,ccn-050234,joint-injection,1499,1999,
2026-08-16,ccn-050234,knee-replacement,108334,144446,
2026-08-16,ccn-050234,laceration,1517,2023,
2026-08-16,ccn-050234,mammogram-diag,420,560,
2026-08-16,ccn-050234,mammogram-screen,435,580,
2026-08-16,ccn-050234,mri-brain,3036,4048,
2026-08-16,ccn-050234,mri-knee,3247,4329,
2026-08-16,ccn-050234,mri-spine,3112,4149,
2026-08-16,ccn-050234,physical-therapy,164,218,
2026-08-16,ccn-050234,prostate-biopsy,3221,4295,
2026-08-16,ccn-050234,sleep-study,5535,7380,
2026-08-16,ccn-050234,strep-test,132,176,
2026-08-16,ccn-050234,thyroid-us,1016,1354,
2026-08-16,ccn-050234,urgent-care,311,415,
2026-08-16,ccn-050234,us-abdomen,1400,1866,
2026-08-16,ccn-050234,us-pregnancy,1069,1425,
2026-08-16,ccn-050234,xray-extremity,575,767,
2026-08-16,ccn-050234,xray-leg,513,684,
2026-08-16,ccn-050324,appendectomy,13922,55689,
2026-08-16,ccn-050324,biopsy-needle,1462,5847,
2026-08-16,ccn-050324,blood-cbc,28,110,
2026-08-16,ccn-050324,blood-metabolic,98,392,
2026-08-16,ccn-050324,carpal-tunnel,1064,4256,
2026-08-16,ccn-050324,cast-fracture,202,808,
2026-08-16,ccn-050324,cataract,1944,7774,
2026-08-16,ccn-050324,cesarean,13277,53109,
2026-08-16,ccn-050324,chemo-infusion,467,1869,
2026-08-16,ccn-050324,chest-xray,244,975,
2026-08-16,ccn-050324,colonoscopy,749,2998,
2026-08-16,ccn-050324,ct-abd-pelvis,2250,9000,
2026-08-16,ccn-050324,ct-head,864,3458,
2026-08-16,ccn-050324,echocardiogram,392,1567,
2026-08-16,ccn-050324,endoscopy,725,2902,
2026-08-16,ccn-050324,epidural-inj,518,2072,
2026-08-16,ccn-050324,er-level3,604,2415,
2026-08-16,ccn-050324,er-level4,971,3885,
2026-08-16,ccn-050324,er-level5,1969,7874,
2026-08-16,ccn-050324,gallbladder,12439,49755,
2026-08-16,ccn-050324,hearing-test,73,294,
2026-08-16,ccn-050324,hernia-repair,3909,15637,
2026-08-16,ccn-050324,hip-replacement,48421,193686,
2026-08-16,ccn-050324,hysterectomy,14140,56562,
2026-08-16,ccn-050324,iud-insertion,991,3966,
2026-08-16,ccn-050324,iv-hydration,494,1977,
2026-08-16,ccn-050324,iv-infusion,467,1869,
2026-08-16,ccn-050324,joint-injection,956,3823,
2026-08-16,ccn-050324,knee-replacement,48421,193686,
2026-08-16,ccn-050324,knee-scope,2964,11856,
2026-08-16,ccn-050324,laceration,851,3405,
2026-08-16,ccn-050324,lithotripsy,8236,32943,
2026-08-16,ccn-050324,mammogram-diag,168,672,
2026-08-16,ccn-050324,mammogram-screen,181,723,
2026-08-16,ccn-050324,mri-brain,913,3652,
2026-08-16,ccn-050324,mri-knee,945,3781,
2026-08-16,ccn-050324,mri-spine,753,3013,
2026-08-16,ccn-050324,pap-smear,34,135,
2026-08-16,ccn-050324,physical-therapy,43,173,
2026-08-16,ccn-050324,shoulder-scope,3296,13184,
2026-08-16,ccn-050324,sleep-study,578,2313,
2026-08-16,ccn-050324,strep-test,28,111,
2026-08-16,ccn-050324,thyroid-us,522,2089,
2026-08-16,ccn-050324,tonsillectomy,1855,7420,
2026-08-16,ccn-050324,urgent-care,73,294,
2026-08-16,ccn-050324,us-abdomen,342,1369,
2026-08-16,ccn-050324,us-pregnancy,227,909,
2026-08-16,ccn-050324,xray-extremity,242,969,
2026-08-16,ccn-050324,xray-leg,227,907,
2026-08-16,ccn-050424,appendectomy,13922,55689,
2026-08-16,ccn-050424,biopsy-needle,1462,5847,
2026-08-16,ccn-050424,blood-cbc,28,110,
2026-08-16,ccn-050424,blood-metabolic,98,392,
2026-08-16,ccn-050424,carpal-tunnel,1064,4256,
2026-08-16,ccn-050424,cast-fracture,202,808,
2026-08-16,ccn-050424,cataract,1944,7774,
2026-08-16,ccn-050424,chemo-infusion,467,1869,
2026-08-16,ccn-050424,chest-xray,244,975,
2026-08-16,ccn-050424,colonoscopy,749,2998,
2026-08-16,ccn-050424,ct-abd-pelvis,2250,9000,
2026-08-16,ccn-050424,ct-head,864,3458,
2026-08-16,ccn-050424,echocardiogram,392,1567,
2026-08-16,ccn-050424,endoscopy,725,2902,
2026-08-16,ccn-050424,epidural-inj,518,2072,
2026-08-16,ccn-050424,er-level3,604,2415,
2026-08-16,ccn-050424,er-level4,4908,19633,
2026-08-16,ccn-050424,er-level5,5906,23623,
2026-08-16,ccn-050424,gallbladder,12439,49755,
2026-08-16,ccn-050424,hearing-test,73,294,
2026-08-16,ccn-050424,hernia-repair,3909,15637,
2026-08-16,ccn-050424,hip-replacement,36357,145427,
2026-08-16,ccn-050424,hysterectomy,14140,56562,
2026-08-16,ccn-050424,iud-insertion,991,3966,
2026-08-16,ccn-050424,iv-hydration,494,1977,
2026-08-16,ccn-050424,iv-infusion,467,1869,
2026-08-16,ccn-050424,joint-injection,956,3823,
2026-08-16,ccn-050424,knee-replacement,36357,145427,
2026-08-16,ccn-050424,knee-scope,2964,11856,
2026-08-16,ccn-050424,laceration,851,3405,
2026-08-16,ccn-050424,lithotripsy,8236,32943,
2026-08-16,ccn-050424,mammogram-diag,168,672,
2026-08-16,ccn-050424,mammogram-screen,181,723,
2026-08-16,ccn-050424,mri-brain,913,3652,
2026-08-16,ccn-050424,mri-knee,1657,6628,
2026-08-16,ccn-050424,mri-spine,753,3013,
2026-08-16,ccn-050424,pap-smear,34,135,
2026-08-16,ccn-050424,physical-therapy,43,173,
2026-08-16,ccn-050424,shoulder-scope,3296,13184,
2026-08-16,ccn-050424,sleep-study,578,2313,
2026-08-16,ccn-050424,strep-test,28,111,
2026-08-16,ccn-050424,thyroid-us,522,2089,
2026-08-16,ccn-050424,tonsillectomy,1855,7420,
2026-08-16,ccn-050424,urgent-care,73,294,
2026-08-16,ccn-050424,us-abdomen,342,1369,
2026-08-16,ccn-050424,us-pregnancy,227,909,
2026-08-16,ccn-050424,xray-extremity,242,969,
2026-08-16,ccn-050424,xray-leg,227,907,
2026-08-16,ccn-050503,appendectomy,13922,55689,
2026-08-16,ccn-050503,biopsy-needle,1462,5847,
2026-08-16,ccn-050503,blood-cbc,28,110,
2026-08-16,ccn-050503,blood-metabolic,98,392,
2026-08-16,ccn-050503,carpal-tunnel,1064,4256,
2026-08-16,ccn-050503,cast-fracture,202,808,
2026-08-16,ccn-050503,cataract,1944,7774,
2026-08-16,ccn-050503,cesarean,13328,53312,
2026-08-16,ccn-050503,chemo-infusion,467,1869,
2026-08-16,ccn-050503,chest-xray,244,975,
2026-08-16,ccn-050503,colonoscopy,749,2998,
2026-08-16,ccn-050503,ct-abd-pelvis,2250,9000,
2026-08-16,ccn-050503,ct-head,864,3458,
2026-08-16,ccn-050503,echocardiogram,392,1567,
2026-08-16,ccn-050503,endoscopy,725,2902,
2026-08-16,ccn-050503,epidural-inj,518,2072,
2026-08-16,ccn-050503,er-level3,604,2415,
2026-08-16,ccn-050503,er-level4,971,3885,
2026-08-16,ccn-050503,er-level5,1969,7874,
2026-08-16,ccn-050503,gallbladder,12439,49755,
2026-08-16,ccn-050503,hearing-test,73,294,
2026-08-16,ccn-050503,hernia-repair,3332,13330,
2026-08-16,ccn-050503,hip-replacement,43402,173610,
2026-08-16,ccn-050503,hysterectomy,14140,56562,
2026-08-16,ccn-050503,iud-insertion,991,3966,
2026-08-16,ccn-050503,iv-hydration,494,1977,
2026-08-16,ccn-050503,iv-infusion,467,1869,
2026-08-16,ccn-050503,joint-injection,956,3823,
2026-08-16,ccn-050503,knee-replacement,43402,173610,
2026-08-16,ccn-050503,knee-scope,2964,11856,
2026-08-16,ccn-050503,laceration,851,3405,
2026-08-16,ccn-050503,lithotripsy,8236,32943,
2026-08-16,ccn-050503,mammogram-diag,168,672,
2026-08-16,ccn-050503,mammogram-screen,181,723,
2026-08-16,ccn-050503,mri-brain,913,3652,
2026-08-16,ccn-050503,mri-knee,945,3781,
2026-08-16,ccn-050503,mri-spine,753,3013,
2026-08-16,ccn-050503,pap-smear,34,135,
2026-08-16,ccn-050503,physical-therapy,43,173,
2026-08-16,ccn-050503,shoulder-scope,3296,13184,
2026-08-16,ccn-050503,sleep-study,578,2313,
2026-08-16,ccn-050503,strep-test,28,111,
2026-08-16,ccn-050503,thyroid-us,522,2089,
2026-08-16,ccn-050503,tonsillectomy,1855,7420,
2026-08-16,ccn-050503,urgent-care,73,294,
2026-08-16,ccn-050503,us-abdomen,342,1369,
2026-08-16,ccn-050503,us-pregnancy,227,909,
2026-08-16,ccn-050503,xray-extremity,242,969,
2026-08-16,ccn-050503,xray-leg,227,907,
2026-08-16,ccn-050515,allergy-test,566,1089,
2026-08-16,ccn-050515,appendectomy,8008,15400,
2026-08-16,ccn-050515,biopsy-needle,3214,6180,
2026-08-16,ccn-050515,blood-cbc,111,213,
2026-08-16,ccn-050515,blood-metabolic,269,517,
2026-08-16,ccn-050515,cardiac-cath,12927,24860,
2026-08-16,ccn-050515,carpal-tunnel,3609,6940,
2026-08-16,ccn-050515,cast-fracture,499,960,
2026-08-16,ccn-050515,cataract,5044,9700,
2026-08-16,ccn-050515,chemo-infusion,874,1680,
2026-08-16,ccn-050515,chest-xray,385,740,
2026-08-16,ccn-050515,colonoscopy,2080,4000,
2026-08-16,ccn-050515,ct-abd-pelvis,4004,7700,
2026-08-16,ccn-050515,ct-head,2288,4400,
2026-08-16,ccn-050515,dialysis,2340,4500,
2026-08-16,ccn-050515,echocardiogram,2688,5170,
2026-08-16,ccn-050515,endoscopy,1872,3600,
2026-08-16,ccn-050515,epidural-inj,2220,4270,
2026-08-16,ccn-050515,er-level3,1208,2323,
2026-08-16,ccn-050515,er-level4,1953,3756,
2026-08-16,ccn-050515,er-level5,3284,6316,
2026-08-16,ccn-050515,flu-shot,16,30,
2026-08-16,ccn-050515,gallbladder,13208,25400,
2026-08-16,ccn-050515,hernia-repair,7389,14210,
2026-08-16,ccn-050515,hysterectomy,4436,8530,
2026-08-16,ccn-050515,iud-insertion,588,1130,
2026-08-16,ccn-050515,iv-hydration,442,850,
2026-08-16,ccn-050515,iv-infusion,478,920,
2026-08-16,ccn-050515,joint-injection,952,1830,
2026-08-16,ccn-050515,knee-scope,5148,9900,
2026-08-16,ccn-050515,laceration,749,1440,
2026-08-16,ccn-050515,lithotripsy,6510,12520,
2026-08-16,ccn-050515,mammogram-diag,353,679,
2026-08-16,ccn-050515,mammogram-screen,380,731,
2026-08-16,ccn-050515,mri-brain,2600,5000,
2026-08-16,ccn-050515,mri-knee,2392,4600,
2026-08-16,ccn-050515,mri-spine,2496,4800,
2026-08-16,ccn-050515,pap-smear,100,193,
2026-08-16,ccn-050515,physical-therapy,137,264,
2026-08-16,ccn-050515,shoulder-scope,9745,18740,
2026-08-16,ccn-050515,strep-test,111,213,
2026-08-16,ccn-050515,stress-test,270,520,
2026-08-16,ccn-050515,thyroid-us,827,1590,
2026-08-16,ccn-050515,tonsillectomy,1456,2800,
2026-08-16,ccn-050515,us-abdomen,1191,2290,
2026-08-16,ccn-050515,us-pregnancy,728,1400,
2026-08-16,ccn-050515,xray-extremity,432,830,
2026-08-16,ccn-050515,xray-leg,406,780,
2026-08-16,ccn-050855,allergy-test,566,1089,
2026-08-16,ccn-050855,appendectomy,8008,15400,
2026-08-16,ccn-050855,biopsy-needle,3214,6180,
2026-08-16,ccn-050855,blood-cbc,111,213,
2026-08-16,ccn-050855,blood-metabolic,269,517,
2026-08-16,ccn-050855,cardiac-cath,12927,24860,
2026-08-16,ccn-050855,carpal-tunnel,3609,6940,
2026-08-16,ccn-050855,cast-fracture,499,960,
2026-08-16,ccn-050855,cataract,5044,9700,
2026-08-16,ccn-050855,chemo-infusion,874,1680,
2026-08-16,ccn-050855,chest-xray,385,740,
2026-08-16,ccn-050855,colonoscopy,2080,4000,
2026-08-16,ccn-050855,ct-abd-pelvis,4004,7700,
2026-08-16,ccn-050855,ct-head,2288,4400,
2026-08-16,ccn-050855,dialysis,2340,4500,
2026-08-16,ccn-050855,echocardiogram,2688,5170,
2026-08-16,ccn-050855,endoscopy,1872,3600,
2026-08-16,ccn-050855,epidural-inj,2220,4270,
2026-08-16,ccn-050855,er-level3,1208,2323,
2026-08-16,ccn-050855,er-level4,1953,3756,
